2026-07-17 18:38:55,429 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:55,943 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:55,943 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:55,943 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:56,449 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:56,449 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:56,449 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:56,953 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:56,953 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.585 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:56,953 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:57,464 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:57,464 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:57,464 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:57,976 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:57,976 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:57,976 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:58,477 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:58,478 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:58,478 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:58,991 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:58,991 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:58,991 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:38:59,505 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:38:59,505 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:38:59,505 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:00,016 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:00,017 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:00,017 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:00,530 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:00,530 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:00,530 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:01,038 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:01,038 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:01,038 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:01,554 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:01,554 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:01,554 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:02,064 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:02,064 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:02,064 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:02,575 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:02,576 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:02,576 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:03,083 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:03,083 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:03,083 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:03,590 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:03,590 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:03,590 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:04,092 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:04,092 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:04,092 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:04,595 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:04,595 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:04,595 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
2026-07-17 18:39:05,098 - bot_main - INFO - [BTC/USDT] Precio WS: 63886.45 | Objetivo LONG: 63901.30 | Objetivo SHORT: 64029.75
2026-07-17 18:39:05,098 - bot_main - INFO - [ETH/USDT] Precio WS: 1839.4850000000001 | Objetivo LONG: 1840.27 | Objetivo SHORT: 1844.52
2026-07-17 18:39:05,098 - bot_main - INFO - [SOL/USDT] Precio WS: 75.07499999999999 | Objetivo LONG: 75.01 | Objetivo SHORT: 75.27
